time,angle_deg,tsr,cp,cd,ct,cd_blade1,ct_blade1,cd_blade2,ct_blade2,cd_blade3,ct_blade3
0.0137,0.994273,7,0.273011,0.518186,0.0390016,0.172729,0.0130005,0.172729,0.0130005,0.172729,0.0130005
0.0274,1.98855,7,0.545696,0.796423,0.0779566,0.265474,0.0259852,0.265468,0.0259851,0.265481,0.0259863
0.0411,2.98282,7,0.52087,0.787287,0.07441,0.262434,0.0248025,0.262431,0.0248047,0.262422,0.0248028
0.0548,3.97709,7,0.501177,0.782655,0.0715967,0.260936,0.0238754,0.260852,0.0238608,0.260866,0.0238605
0.0685,4.97136,7,0.487515,0.779615,0.069645,0.259902,0.0232196,0.259874,0.0232143,0.259839,0.0232111
0.0822,5.96564,7,0.481738,0.778874,0.0688197,0.259637,0.0229442,0.259588,0.022934,0.259649,0.0229415
0.0959,6.95991,7,0.481518,0.778876,0.0687883,0.259641,0.0229302,0.259612,0.022925,0.259623,0.0229331
0.1096,7.95418,7,0.484895,0.7792,0.0692707,0.259755,0.0230936,0.259713,0.0230854,0.259732,0.0230917
0.1233,8.94845,7,0.489792,0.779348,0.0699703,0.259797,0.0233241,0.259779,0.0233236,0.259771,0.0233226
0.137,9.94273,7,0.495337,0.779421,0.0707625,0.259822,0.0235854,0.259791,0.0235873,0.259808,0.0235897
0.1507,10.937,7,0.500613,0.779292,0.0715162,0.259767,0.0238332,0.259745,0.023837,0.25978,0.0238459
0.1644,11.9313,7,0.505234,0.779011,0.0721762,0.259682,0.024053,0.259677,0.0240656,0.259652,0.0240577
0.1781,12.9255,7,0.509265,0.778791,0.0727522,0.259607,0.0242459,0.259588,0.0242524,0.259596,0.0242539
0.1918,13.9198,7,0.512644,0.778748,0.0732349,0.259574,0.024402,0.259586,0.0244151,0.259589,0.0244178
0.2055,14.9141,7,0.515129,0.77852,0.0735898,0.259533,0.024526,0.259494,0.0245304,0.259493,0.0245334
0.2192,15.9084,7,0.517411,0.778494,0.0739159,0.25952,0.0246353,0.259481,0.0246426,0.259493,0.024638
0.2329,16.9026,7,0.519578,0.778608,0.0742254,0.259528,0.0247318,0.259545,0.0247507,0.259534,0.024743
0.2466,17.8969,7,0.521053,0.778584,0.0744362,0.25954,0.0248096,0.25952,0.0248114,0.259525,0.0248151
0.2603,18.8912,7,0.522492,0.778716,0.0746417,0.259576,0.0248732,0.259578,0.0248871,0.259562,0.0248814
0.274,19.8855,7,0.523673,0.778825,0.0748104,0.259616,0.024933,0.259598,0.0249399,0.25961,0.0249375
0.2877,20.8797,7,0.524587,0.778903,0.0749411,0.259645,0.0249771,0.259633,0.0249857,0.259625,0.0249782
0.3014,21.874,7,0.525472,0.779015,0.0750674,0.259677,0.025017,0.25966,0.0250245,0.259678,0.0250259
0.3151,22.8683,7,0.526239,0.779131,0.075177,0.259717,0.0250556,0.259708,0.0250619,0.259705,0.0250595
0.3288,23.8625,7,0.526965,0.779236,0.0752808,0.259762,0.0250926,0.259744,0.0250978,0.25973,0.0250903
0.3425,24.8568,7,0.527562,0.779311,0.075366,0.259783,0.0251208,0.25976,0.0251185,0.259768,0.0251267
0.3562,25.8511,7,0.528144,0.779391,0.0754492,0.259804,0.0251455,0.259814,0.0251559,0.259773,0.0251478
0.3699,26.8454,7,0.528663,0.779469,0.0755233,0.259833,0.02517,0.259829,0.0251811,0.259807,0.0251722
0.3836,27.8396,7,0.529092,0.779535,0.0755846,0.259859,0.0251909,0.259852,0.0252034,0.259823,0.0251903
0.3973,28.8339,7,0.529424,0.779596,0.0756319,0.259877,0.0252093,0.259863,0.025217,0.259857,0.0252056
0.411,29.8282,7,0.529808,0.779671,0.0756869,0.259891,0.0252265,0.259882,0.0252329,0.259898,0.0252275
0.4247,30.8225,7,0.530319,0.779817,0.0757599,0.259959,0.0252546,0.259917,0.0252528,0.259941,0.0252525
0.4384,31.8167,7,0.530573,0.779825,0.0757961,0.259958,0.0252599,0.259933,0.0252687,0.259934,0.0252675
0.4521,32.811,7,0.530917,0.779914,0.0758453,0.259974,0.0252745,0.259983,0.0252904,0.259956,0.0252804
0.4658,33.8053,7,0.531164,0.779963,0.0758805,0.260009,0.025291,0.259988,0.0252996,0.259966,0.0252899
0.4795,34.7995,7,0.531413,0.780018,0.0759161,0.260038,0.0253112,0.25999,0.0253051,0.259989,0.0252999
0.4932,35.7938,7,0.531603,0.78007,0.0759433,0.260024,0.0253108,0.26002,0.0253152,0.260026,0.0253173
0.5069,36.7881,7,0.531932,0.780172,0.0759904,0.26007,0.0253285,0.260072,0.0253373,0.26003,0.0253246
0.5206,37.7824,7,0.532222,0.780255,0.0760317,0.260106,0.0253429,0.260079,0.0253498,0.26007,0.0253389
0.5343,38.7766,7,0.53232,0.780262,0.0760458,0.260105,0.0253466,0.260075,0.0253522,0.260083,0.025347
0.548,39.7709,7,0.53253,0.780347,0.0760757,0.260143,0.0253606,0.260106,0.0253612,0.260099,0.0253538
0.5617,40.7652,7,0.532836,0.780434,0.0761194,0.260153,0.0253706,0.260144,0.025379,0.260138,0.0253698
0.5754,41.7595,7,0.532978,0.780473,0.0761397,0.260186,0.0253831,0.260138,0.0253808,0.260149,0.0253758
0.5891,42.7537,7,0.533063,0.780503,0.0761518,0.260185,0.0253853,0.260152,0.0253839,0.260166,0.0253825
0.6028,43.748,7,0.533391,0.780649,0.0761987,0.260238,0.0254007,0.260212,0.0254062,0.260199,0.0253918
0.6165,44.7423,7,0.533393,0.780651,0.0761989,0.260237,0.0253994,0.260196,0.025403,0.260218,0.0253965
0.6302,45.7365,7,0.533517,0.780715,0.0762166,0.260261,0.0254092,0.260218,0.0254058,0.260237,0.0254017
0.6439,46.7308,7,0.533771,0.78083,0.0762529,0.260295,0.0254204,0.260265,0.0254205,0.260271,0.0254121
0.6576,47.7251,7,0.533793,0.780849,0.0762562,0.260294,0.0254167,0.260268,0.0254206,0.260286,0.0254189
0.6713,48.7194,7,0.533965,0.780952,0.0762806,0.260355,0.0254347,0.260291,0.0254243,0.260306,0.0254216
0.685,49.7136,7,0.534153,0.781032,0.0763076,0.260356,0.0254389,0.260342,0.0254401,0.260334,0.0254286
0.6987,50.7079,7,0.534208,0.78109,0.0763154,0.260381,0.0254417,0.260341,0.0254368,0.260368,0.0254369
0.7124,51.7022,7,0.534334,0.781175,0.0763335,0.260405,0.0254462,0.260388,0.0254479,0.260382,0.0254393
0.7261,52.6965,7,0.53449,0.781278,0.0763556,0.260447,0.0254532,0.260411,0.0254538,0.260421,0.0254486
0.7398,53.6907,7,0.534586,0.781348,0.0763694,0.260463,0.0254574,0.260426,0.025456,0.260459,0.025456
0.7535,54.685,7,0.534694,0.781443,0.0763849,0.260489,0.0254554,0.260469,0.0254669,0.260485,0.0254626
0.7672,55.6793,7,0.534898,0.781572,0.076414,0.260562,0.0254773,0.260495,0.0254703,0.260515,0.0254664
0.7809,56.6735,7,0.535032,0.781689,0.0764331,0.260584,0.0254814,0.260535,0.025477,0.260569,0.0254747
0.7946,57.6678,7,0.535168,0.7818,0.0764526,0.260621,0.0254891,0.260576,0.0254844,0.260603,0.025479
0.8083,58.6621,7,0.535287,0.781908,0.0764696,0.260646,0.0254926,0.260619,0.0254892,0.260643,0.0254879
0.822,59.6564,7,0.535514,0.78206,0.076502,0.260699,0.0255015,0.260684,0.0255028,0.260677,0.0254977
0.8357,60.6506,7,0.535658,0.782211,0.0765226,0.260732,0.0255044,0.26074,0.0255129,0.260738,0.0255054
0.8494,61.6449,7,0.535707,0.782292,0.0765296,0.260771,0.0255101,0.26074,0.0255128,0.260781,0.0255068
0.8631,62.6392,7,0.535939,0.782485,0.0765627,0.260859,0.0255281,0.260795,0.0255192,0.26083,0.0255153
0.8768,63.6335,7,0.536137,0.782644,0.0765909,0.260897,0.0255332,0.260851,0.0255282,0.260896,0.0255296
